Object	Integral [abs]	?(F2) [ppm]	?(F1) [ppm]	
Integral 1	225800.00	8.6025	0.8739	
Integral 2	34764000.00	8.6037	1.1962	
Integral 3	1785900.00	8.6110	1.5381	
Integral 4	3954800.00	8.5988	1.9386	
Integral 5	13075000.00	8.6025	2.2609	
Integral 6	2054100.00	8.6037	3.2083	
Integral 7	491060.00	8.6073	3.4477	
Integral 8	28178.00	8.6037	3.6772	
Integral 9	71796.00	8.5854	3.8237	
Integral 10	125390.00	8.6037	3.9751	
Integral 11	5205400.00	7.9849	0.8153	
Integral 12	79592000.00	8.0435	1.1962	
Integral 13	6998400.00	7.9935	1.5234	
Integral 14	16625000.00	8.0325	1.9337	
Integral 15	27685000.00	8.0386	2.3244	
Integral 16	9204500.00	8.0264	3.2132	
Integral 17	3561900.00	8.0227	3.4525	
Integral 18	2908900.00	8.0264	3.6772	
Integral 19	418400.00	7.9703	3.8188	
Integral 20	1732200.00	8.0020	3.9702	
Integral 21	2646500.00	7.8543	0.8348	
Integral 22	64443000.00	7.8580	1.1913	
Integral 23	5783000.00	7.8580	1.5283	
Integral 24	9009600.00	7.8592	1.9532	
Integral 25	26639000.00	7.8616	2.3244	
Integral 26	13811000.00	7.8592	3.2132	
Integral 27	2736400.00	7.8568	3.4672	
Integral 28	3102000.00	7.8665	3.6723	
Integral 29	187590.00	7.8507	3.8286	
Integral 30	2406600.00	7.8616	3.9605	
Integral 31	931470.00	7.7152	0.8495	
Integral 32	46773000.00	7.6456	1.2060	
Integral 33	3810400.00	7.6883	1.5234	
Integral 34	6726100.00	7.6957	1.9190	
Integral 35	31966000.00	7.6932	2.3097	
Integral 36	7606500.00	7.7091	3.2230	
Integral 37	3119600.00	7.7188	3.4525	
Integral 38	3199100.00	7.7213	3.6577	
Integral 39	25532.00	7.7164	3.8139	
Integral 40	2257800.00	7.7188	3.9311	
Integral 41	695990.00	7.3613	0.8592	
Integral 42	31933000.00	7.3625	1.2011	
Integral 43	2103800.00	7.3588	1.5137	
Integral 44	3009500.00	7.3576	1.9190	
Integral 45	21560000.00	7.3613	2.2560	
Integral 46	8639500.00	7.3429	3.2230	
Integral 47	2410300.00	7.3551	3.4623	
Integral 48	3112500.00	7.3600	3.6674	
Integral 49	21102.00	7.3674	3.7700	
Integral 50	1883900.00	7.3661	3.9067	
Integral 51	0.00	6.8230	0.8446	
Integral 52	14735000.00	6.8206	1.2499	
Integral 53	633550.00	6.8316	1.5234	
Integral 54	5238700.00	6.8133	1.9044	
Integral 55	16034000.00	6.8304	2.2267	
Integral 56	3969600.00	6.7815	3.2376	
Integral 57	3173600.00	6.7998	3.4477	
Integral 58	3862600.00	6.7901	3.6479	
Integral 59	4149.00	6.8206	3.7651	
Integral 60	18703.00	6.8609	3.9165	
